tensor(0.5037, device='cuda:0')
tensor(0.4983, device='cuda:0')
tensor(0.4972, device='cuda:0')
tensor(0.5207, device='cuda:0')
tensor(0.5003, device='cuda:0')
tensor(0.5014, device='cuda:0')
tensor(0.5018, device='cuda:0')
tensor(0.4989, device='cuda:0')
tensor(0.4971, device='cuda:0')
tensor(0.4934, device='cuda:0')
tensor(0.4985, device='cuda:0')
tensor(0.5015, device='cuda:0')
tensor(0.5006, device='cuda:0')
tensor(0.4962, device='cuda:0')
tensor(0.5021, device='cuda:0')
tensor(0.4970, device='cuda:0')
tensor(0.5020, device='cuda:0')
tensor(0.5057, device='cuda:0')
tensor(0.4999, device='cuda:0')
tensor(0.5003, device='cuda:0')
tensor(0.4938, device='cuda:0')
tensor(0.5038, device='cuda:0')
tensor(0.5018, device='cuda:0')
tensor(0.5043, device='cuda:0')
tensor(0.4955, device='cuda:0')
tensor(0.5047, device='cuda:0')
tensor(0.4995, device='cuda:0')
tensor(0.4997, device='cuda:0')
tensor(0.5014, device='cuda:0')
tensor(0.4993, device='cuda:0')
tensor(0.5012, device='cuda:0')
tensor(0.5006, device='cuda:0')
tensor(0.5004, device='cuda:0')
tensor(0.5026, device='cuda:0')
tensor(0.5001, device='cuda:0')
tensor(0.4998, device='cuda:0')
tensor(0.5002, device='cuda:0')
tensor(0.5008, device='cuda:0')
tensor(0.5052, device='cuda:0')
tensor(0.5028, device='cuda:0')
tensor(0.5028, device='cuda:0')
tensor(0.5008, device='cuda:0')
tensor(0.4994, device='cuda:0')
tensor(0.5000, device='cuda:0')
tensor(0.4997, device='cuda:0')
tensor(0.5063, device='cuda:0')
tensor(0.5035, device='cuda:0')
tensor(0.5013, device='cuda:0')
tensor(0.5231, device='cuda:0')
tensor(0.4980, device='cuda:0')
tensor(0.4985, device='cuda:0')
tensor(0.5032, device='cuda:0')
tensor(0.5049, device='cuda:0')
tensor(0.5006, device='cuda:0')
tensor(0.5020, device='cuda:0')
tensor(0.4983, device='cuda:0')
tensor(0.5006, device='cuda:0')
tensor(0.5060, device='cuda:0')
tensor(0.5012, device='cuda:0')
tensor(0.5025, device='cuda:0')
tensor(0.5002, device='cuda:0')
tensor(0.4987, device='cuda:0')
tensor(0.5014, device='cuda:0')
tensor(0.5012, device='cuda:0')
tensor(0.4975, device='cuda:0')
tensor(0.4962, device='cuda:0')
tensor(0.4965, device='cuda:0')
tensor(0.4968, device='cuda:0')
tensor(0.4992, device='cuda:0')
tensor(0.5001, device='cuda:0')
tensor(0.5026, device='cuda:0')
tensor(0.4981, device='cuda:0')
tensor(0.5011, device='cuda:0')
tensor(0.4994, device='cuda:0')
tensor(0.4978, device='cuda:0')
tensor(0.5044, device='cuda:0')
tensor(0.4960, device='cuda:0')
tensor(0.4986, device='cuda:0')
tensor(0.4991, device='cuda:0')
tensor(0.4980, device='cuda:0')
tensor(0.4972, device='cuda:0')
tensor(0.5006, device='cuda:0')
tensor(0.5006, device='cuda:0')
tensor(0.4959, device='cuda:0')
tensor(0.4984, device='cuda:0')
tensor(0.5005, device='cuda:0')
tensor(0.4984, device='cuda:0')
tensor(0.4996, device='cuda:0')
tensor(0.4999, device='cuda:0')
tensor(0.5019, device='cuda:0')
tensor(0.5021, device='cuda:0')
tensor(0.5022, device='cuda:0')
tensor(0.4993, device='cuda:0')
tensor(0.4959, device='cuda:0')
tensor(0.5011, device='cuda:0')
tensor(0.5010, device='cuda:0')
tensor(0.4999, device='cuda:0')
tensor(0.5004, device='cuda:0')
tensor(0.5000, device='cuda:0')
tensor(0.5006, device='cuda:0')
tensor(0.5003, device='cuda:0')
tensor(0.4999, device='cuda:0')
tensor(0.4959, device='cuda:0')
tensor(0.5039, device='cuda:0')
tensor(0.5026, device='cuda:0')
tensor(0.5017, device='cuda:0')
tensor(0.5018, device='cuda:0')
tensor(0.5008, device='cuda:0')
tensor(0.4969, device='cuda:0')
tensor(0.4985, device='cuda:0')
tensor(0.5019, device='cuda:0')
tensor(0.4994, device='cuda:0')
tensor(0.5018, device='cuda:0')
tensor(0.5000, device='cuda:0')
tensor(0.5008, device='cuda:0')
tensor(0.5021, device='cuda:0')
tensor(0.4996, device='cuda:0')
tensor(0.5000, device='cuda:0')
tensor(0.5035, device='cuda:0')
tensor(0.4992, device='cuda:0')
tensor(0.5015, device='cuda:0')
tensor(0.5024, device='cuda:0')
tensor(0.5078, device='cuda:0')
tensor(0.4966, device='cuda:0')
tensor(0.5002, device='cuda:0')
tensor(0.4989, device='cuda:0')
tensor(0.5043, device='cuda:0')
tensor(0.4996, device='cuda:0')
tensor(0.4993, device='cuda:0')
tensor(0.5021, device='cuda:0')
tensor(0.5016, device='cuda:0')
tensor(0.4937, device='cuda:0')
tensor(0.5008, device='cuda:0')
tensor(0.5003, device='cuda:0')
tensor(0.5008, device='cuda:0')
tensor(0.5016, device='cuda:0')
tensor(0.4964, device='cuda:0')
tensor(0.4992, device='cuda:0')
tensor(0.4955, device='cuda:0')
tensor(0.5005, device='cuda:0')
tensor(0.5070, device='cuda:0')
tensor(0.4983, device='cuda:0')
tensor(0.5047, device='cuda:0')
tensor(0.5023, device='cuda:0')
tensor(0.4999, device='cuda:0')
tensor(0.4749, device='cuda:0')
tensor(0.4523, device='cuda:0')
tensor(0.4855, device='cuda:0')
tensor(0.4876, device='cuda:0')
tensor(0.4929, device='cuda:0')
tensor(0.5001, device='cuda:0')
tensor(0.4946, device='cuda:0')
tensor(0.3281, device='cuda:0')
tensor(0.4149, device='cuda:0')
tensor(0.5238, device='cuda:0')
tensor(0.3310, device='cuda:0')
tensor(0.5502, device='cuda:0')
tensor(0.4749, device='cuda:0')
tensor(0.3752, device='cuda:0')
tensor(0.3306, device='cuda:0')
tensor(0.3679, device='cuda:0')
tensor(0.3773, device='cuda:0')
tensor(0.7668, device='cuda:0')
tensor(0.2675, device='cuda:0')
tensor(0.4807, device='cuda:0')
tensor(0.4620, device='cuda:0')
tensor(0.3156, device='cuda:0')
tensor(0.3781, device='cuda:0')
tensor(0.3241, device='cuda:0')
tensor(0.2553, device='cuda:0')
tensor(0.2521, device='cuda:0')
tensor(0.3636, device='cuda:0')
tensor(0.4224, device='cuda:0')
tensor(0.2428, device='cuda:0')
tensor(0.2921, device='cuda:0')
tensor(0.3976, device='cuda:0')
tensor(0.1609, device='cuda:0')
tensor(0.2630, device='cuda:0')
tensor(0.2248, device='cuda:0')
tensor(0.2894, device='cuda:0')
tensor(0.1232, device='cuda:0')
tensor(0.4444, device='cuda:0')
tensor(0.2673, device='cuda:0')
tensor(0.1485, device='cuda:0')
tensor(0.1363, device='cuda:0')
tensor(0.0657, device='cuda:0')
tensor(0.6185, device='cuda:0')
tensor(0.3247, device='cuda:0')
tensor(0.4572, device='cuda:0')
tensor(0.5013, device='cuda:0')
tensor(0.3204, device='cuda:0')
tensor(0.1830, device='cuda:0')
tensor(0.6415, device='cuda:0')
tensor(0.6689, device='cuda:0')
tensor(0.4183, device='cuda:0')
tensor(0.0558, device='cuda:0')
tensor(0.2546, device='cuda:0')
tensor(0.2640, device='cuda:0')
tensor(0.3623, device='cuda:0')
tensor(0.6413, device='cuda:0')
tensor(0.5582, device='cuda:0')
tensor(0.3525, device='cuda:0')
tensor(0.3458, device='cuda:0')
tensor(0.1983, device='cuda:0')
tensor(0.1832, device='cuda:0')
tensor(0.1904, device='cuda:0')
tensor(0.3635, device='cuda:0')
tensor(0.2466, device='cuda:0')
tensor(0.0370, device='cuda:0')
tensor(0.5958, device='cuda:0')
tensor(0.2107, device='cuda:0')
tensor(0.2952, device='cuda:0')
tensor(0.3920, device='cuda:0')
tensor(0.6755, device='cuda:0')
tensor(0.1523, device='cuda:0')
tensor(0.0816, device='cuda:0')
tensor(0.0531, device='cuda:0')
tensor(0.3703, device='cuda:0')
tensor(0.0978, device='cuda:0')
tensor(0.3424, device='cuda:0')
tensor(0.3113, device='cuda:0')
tensor(0.1670, device='cuda:0')
tensor(0.0254, device='cuda:0')
tensor(0.0895, device='cuda:0')
tensor(1.0911, device='cuda:0')
tensor(0.2415, device='cuda:0')
tensor(0.3592, device='cuda:0')
tensor(0.1755, device='cuda:0')
tensor(0.1726, device='cuda:0')
tensor(0.1266, device='cuda:0')
tensor(0.0388, device='cuda:0')
tensor(0.1851, device='cuda:0')
tensor(0.1653, device='cuda:0')
